year;code;city;type;GDP;GDPPC
2010;1716109;Paraíso do Tocantins;Centro de Zona;570080,042;12830,39
2010;1716208;Paranã;Centro Local;199267,87;19280,88
2010;1716307;Pau D'Arco;Centro Local;37199,377;8107,97
2010;1716505;Pedro Afonso;Centro de Zona;175468,04;15202,57
2010;1716604;Peixe;Centro Local;421891,769;40609,47
2010;1716653;Pequizeiro;Centro Local;35157,734;6959,17
2010;1716703;Colméia;Centro Local;65866,626;7652,68
2010;1717008;Pindorama do Tocantins;Centro Local;27275,386;6053,13
2010;1717206;Piraquê;Centro Local;22919,794;7849,24
2010;1717503;Pium;Centro Local;58394,945;8720,87
2010;1717800;Ponte Alta do Bom Jesus;Centro Local;22415,613;4928,67
2010;1717909;Ponte Alta do Tocantins;Centro Local;41894,808;5834,93
2010;1718006;Porto Alegre do Tocantins;Centro Local;16061,134;5746,38
2010;1718204;Porto Nacional;Centro de Zona;550115,308;11194,17
2010;1718303;Praia Norte;Centro Local;35356,412;4615,12
2010;1718402;Presidente Kennedy;Centro Local;40119,15;10887,15
2010;1718451;Pugmil;Centro Local;45686,914;19309,77
2010;1718501;Recursolândia;Centro Local;21001,843;5573,74
2010;1718550;Riachinho;Centro Local;24034,815;5745,83
2010;1718659;Rio da Conceição;Centro Local;11847,681;6912,3
2010;1718709;Rio dos Bois;Centro Local;25883,953;10071,58
2010;1718758;Rio Sono;Centro Local;31833,855;5086,09
2010;1718808;Sampaio;Centro Local;19060,577;4927,76
2010;1718840;Sandolândia;Centro Local;32763,171;9850,62
2010;1718865;Santa Fé do Araguaia;Centro Local;54763,608;8298,77
2010;1718881;Santa Maria do Tocantins;Centro Local;19746,404;6823,22
2010;1718899;Santa Rita do Tocantins;Centro Local;22945,922;10782,86
2010;1718907;Santa Rosa do Tocantins;Centro Local;42419,266;9286,18
2010;1719004;Santa Tereza do Tocantins;Centro Local;16501,974;6540,62
2010;1720002;Santa Terezinha do Tocantins;Centro Local;14702,785;5950,14
2010;1720101;São Bento do Tocantins;Centro Local;22707,855;4920,45
